"Path","Ext","Size","Lines"
"backend\verify-dates.js",".js","1176","25"
"DEBUG_INSIGHTS.md",".md","2685","63"
"docker\createbuckets-entrypoint.sh",".sh","542","17"
"docker-compose.yaml",".yaml","8550","256"
"docs\enhanced-task-management-technical-guide.md",".md","11698","354"
"docs\enhanced-task-management-user-guide.md",".md","10728","215"
"docs\recurring-tasks.md",".md","5030","89"
"docs\recurring-tasks-user-guide.md",".md","3376","49"
"docs\task-progress-guide-for-users.md",".md","8874","150"
"docs\task-progress-methods.md",".md","23447","454"
"frontend\.env.example",".example","501","16"
"frontend\Dockerfile","","3293","81"
"frontend\favicon.ico",".ico","11810","103"
"frontend\index.html",".html","3575","83"
"frontend\jest.config.js",".js","221","7"
"frontend\package.json",".json","3434","116"
"frontend\package-lock.json",".json","318305","8602"
"frontend\postcss.config.js",".js","89","6"
"frontend\project-report-table.css",".css","457","15"
"frontend\public\env-config.js",".js","365","6"
"frontend\public\file-types\ai.png",".png","10687","45"
"frontend\public\file-types\avi.png",".png","7782","33"
"frontend\public\file-types\css.png",".png","12761","55"
"frontend\public\file-types\csv.png",".png","10053","64"
"frontend\public\file-types\doc.png",".png","12689","74"
"frontend\public\file-types\exe.png",".png","11570","63"
"frontend\public\file-types\html.png",".png","6723","45"
"frontend\public\file-types\jpg.png",".png","12146","72"
"frontend\public\file-types\js.png",".png","11050","72"
"frontend\public\file-types\json.png",".png","13972","66"
"frontend\public\file-types\mp3.png",".png","13511","70"
"frontend\public\file-types\mp4.png",".png","14697","63"
"frontend\public\file-types\pdf.png",".png","13096","81"
"frontend\public\file-types\png.png",".png","12544","94"
"frontend\public\file-types\ppt.png",".png","6475","46"
"frontend\public\file-types\psd.png",".png","12781","81"
"frontend\public\file-types\search.png",".png","12353","61"
"frontend\public\file-types\svg.png",".png","12957","79"
"frontend\public\file-types\txt.png",".png","9600","81"
"frontend\public\file-types\xls.png",".png","8267","45"
"frontend\public\file-types\xml.png",".png","11677","78"
"frontend\public\file-types\zip.png",".png","7376","41"
"frontend\public\js\analytics.js",".js","3166","88"
"frontend\public\js\hubspot.js",".js","3990","123"
"frontend\public\locales\alb\404-page.json",".json","127","4"
"frontend\public\locales\alb\account-setup.json",".json","10651","187"
"frontend\public\locales\alb\admin-center\current-bill.json",".json","4045","97"
"frontend\public\locales\alb\admin-center\overview.json",".json","223","8"
"frontend\public\locales\alb\admin-center\projects.json",".json","412","12"
"frontend\public\locales\alb\admin-center\sidebar.json",".json","183","8"
"frontend\public\locales\alb\admin-center\teams.json",".json","1006","33"
"frontend\public\locales\alb\admin-center\users.json",".json","232","9"
"frontend\public\locales\alb\all-project-list.json",".json","1094","34"
"frontend\public\locales\alb\auth\auth-common.json",".json","143","5"
"frontend\public\locales\alb\auth\forgot-password.json",".json","611","12"
"frontend\public\locales\alb\auth\login.json",".json","1077","27"
"frontend\public\locales\alb\auth\signup.json",".json","1790","31"
"frontend\public\locales\alb\auth\verify-reset-email.json",".json","723","14"
"frontend\public\locales\alb\common.json",".json","3592","50"
"frontend\public\locales\alb\create-first-project-form.json",".json","414","13"
"frontend\public\locales\alb\create-first-tasks.json",".json","212","7"
"frontend\public\locales\alb\home.json",".json","2319","62"
"frontend\public\locales\alb\invite-initial-team-members.json",".json","227","8"
"frontend\public\locales\alb\kanban-board.json",".json","2006","46"
"frontend\public\locales\alb\license-expired.json",".json","191","6"
"frontend\public\locales\alb\navbar.json",".json","1002","32"
"frontend\public\locales\alb\organization-name-form.json",".json","174","5"
"frontend\public\locales\alb\phases-drawer.json",".json","875","24"
"frontend\public\locales\alb\project-drawer.json",".json","1657","42"
"frontend\public\locales\alb\project-view.json",".json","459","14"
"frontend\public\locales\alb\project-view\import-task-templates.json",".json","319","11"
"frontend\public\locales\alb\project-view\project-member-drawer.json",".json","437","11"
"frontend\public\locales\alb\project-view\project-view-header.json",".json","1357","31"
"frontend\public\locales\alb\project-view\save-as-template.json",".json","790","27"
"frontend\public\locales\alb\project-view-files.json",".json","601","14"
"frontend\public\locales\alb\project-view-insights.json",".json","1596","41"
"frontend\public\locales\alb\project-view-members.json",".json","623","18"
"frontend\public\locales\alb\project-view-updates.json",".json","129","6"
"frontend\public\locales\alb\reporting-members.json",".json","1396","31"
"frontend\public\locales\alb\reporting-members-drawer.json",".json","2910","76"
"frontend\public\locales\alb\reporting-overview.json",".json","863","22"
"frontend\public\locales\alb\reporting-overview-drawer.json",".json","1177","33"
"frontend\public\locales\alb\reporting-projects.json",".json","1602","44"
"frontend\public\locales\alb\reporting-projects-drawer.json",".json","1880","52"
"frontend\public\locales\alb\reporting-projects-filters.json",".json","1138","31"
"frontend\public\locales\alb\reporting-sidebar.json",".json","233","8"
"frontend\public\locales\alb\schedule.json",".json","1023","34"
"frontend\public\locales\alb\settings\categories.json",".json","422","10"
"frontend\public\locales\alb\settings\change-password.json",".json","889","15"
"frontend\public\locales\alb\settings\clients.json",".json","930","22"
"frontend\public\locales\alb\settings\job-titles.json",".json","915","20"
"frontend\public\locales\alb\settings\labels.json",".json","650","15"
"frontend\public\locales\alb\settings\language.json",".json","215","7"
"frontend\public\locales\alb\settings\notifications.json",".json","714","11"
"frontend\public\locales\alb\settings\profile.json",".json","583","14"
"frontend\public\locales\alb\settings\project-templates.json",".json","169","8"
"frontend\public\locales\alb\settings\sidebar.json",".json","431","14"
"frontend\public\locales\alb\settings\task-templates.json",".json","199","9"
"frontend\public\locales\alb\settings\team-members.json",".json","2454","48"
"frontend\public\locales\alb\settings\teams.json",".json","480","16"
"frontend\public\locales\alb\survey.json",".json","646","14"
"frontend\public\locales\alb\task-drawer\task-drawer.json",".json","5297","129"
"frontend\public\locales\alb\task-drawer\task-drawer-info-tab.json",".json","878","29"
"frontend\public\locales\alb\task-list-filters.json",".json","3584","89"
"frontend\public\locales\alb\task-list-table.json",".json","5669","135"
"frontend\public\locales\alb\task-management.json",".json","1350","38"
"frontend\public\locales\alb\tasks\task-table-bulk-actions.json",".json","923","26"
"frontend\public\locales\alb\task-template-drawer.json",".json","323","11"
"frontend\public\locales\alb\templateDrawer.json",".json","720","23"
"frontend\public\locales\alb\template-drawer.json",".json","599","19"
"frontend\public\locales\alb\time-report.json",".json","1189","33"
"frontend\public\locales\alb\unauthorized.json",".json","145","5"
"frontend\public\locales\de\404-page.json",".json","140","4"
"frontend\public\locales\de\account-setup.json",".json","10803","203"
"frontend\public\locales\de\admin-center\configuration.json",".json","885","26"
"frontend\public\locales\de\admin-center\current-bill.json",".json","4082","97"
"frontend\public\locales\de\admin-center\overview.json",".json","221","8"
"frontend\public\locales\de\admin-center\projects.json",".json","405","12"
"frontend\public\locales\de\admin-center\sidebar.json",".json","168","8"
"frontend\public\locales\de\admin-center\teams.json",".json","1019","33"
"frontend\public\locales\de\admin-center\users.json",".json","220","9"
"frontend\public\locales\de\all-project-list.json",".json","1108","34"
"frontend\public\locales\de\auth\auth-common.json",".json","147","5"
"frontend\public\locales\de\auth\forgot-password.json",".json","618","12"
"frontend\public\locales\de\auth\login.json",".json","1145","27"
"frontend\public\locales\de\auth\signup.json",".json","1879","31"
"frontend\public\locales\de\auth\verify-reset-email.json",".json","721","14"
"frontend\public\locales\de\common.json",".json","4237","60"
"frontend\public\locales\de\create-first-project-form.json",".json","433","13"
"frontend\public\locales\de\create-first-tasks.json",".json","233","7"
"frontend\public\locales\de\home.json",".json","2352","62"
"frontend\public\locales\de\invite-initial-team-members.json",".json","243","8"
"frontend\public\locales\de\kanban-board.json",".json","2202","46"
"frontend\public\locales\de\license-expired.json",".json","209","6"
"frontend\public\locales\de\navbar.json",".json","1035","32"
"frontend\public\locales\de\organization-name-form.json",".json","171","5"
"frontend\public\locales\de\phases-drawer.json",".json","938","24"
"frontend\public\locales\de\project-drawer.json",".json","1630","42"
"frontend\public\locales\de\project-view.json",".json","459","14"
"frontend\public\locales\de\project-view\import-task-templates.json",".json","323","11"
"frontend\public\locales\de\project-view\project-member-drawer.json",".json","453","11"
"frontend\public\locales\de\project-view\project-view-header.json",".json","1355","31"
"frontend\public\locales\de\project-view\save-as-template.json",".json","792","27"
"frontend\public\locales\de\project-view-files.json",".json","609","14"
"frontend\public\locales\de\project-view-insights.json",".json","1622","41"
"frontend\public\locales\de\project-view-members.json",".json","640","18"
"frontend\public\locales\de\project-view-updates.json",".json","149","6"
"frontend\public\locales\de\reporting-members.json",".json","1384","31"
"frontend\public\locales\de\reporting-members-drawer.json",".json","2830","76"
"frontend\public\locales\de\reporting-overview.json",".json","900","22"
"frontend\public\locales\de\reporting-overview-drawer.json",".json","1173","33"
"frontend\public\locales\de\reporting-projects.json",".json","1570","44"
"frontend\public\locales\de\reporting-projects-drawer.json",".json","1904","52"
"frontend\public\locales\de\reporting-projects-filters.json",".json","1105","31"
"frontend\public\locales\de\reporting-sidebar.json",".json","234","8"
"frontend\public\locales\de\schedule.json",".json","1010","34"
"frontend\public\locales\de\settings\categories.json",".json","417","10"
"frontend\public\locales\de\settings\change-password.json",".json","894","15"
"frontend\public\locales\de\settings\clients.json",".json","939","22"
"frontend\public\locales\de\settings\job-titles.json",".json","903","20"
"frontend\public\locales\de\settings\labels.json",".json","652","15"
"frontend\public\locales\de\settings\language.json",".json","209","7"
"frontend\public\locales\de\settings\notifications.json",".json","747","11"
"frontend\public\locales\de\settings\profile.json",".json","567","14"
"frontend\public\locales\de\settings\project-templates.json",".json","181","8"
"frontend\public\locales\de\settings\sidebar.json",".json","418","14"
"frontend\public\locales\de\settings\task-templates.json",".json","213","9"
"frontend\public\locales\de\settings\team-members.json",".json","2514","48"
"frontend\public\locales\de\settings\teams.json",".json","498","16"
"frontend\public\locales\de\survey.json",".json","673","14"
"frontend\public\locales\de\task-drawer\task-drawer.json",".json","5472","129"
"frontend\public\locales\de\task-drawer\task-drawer-info-tab.json",".json","888","29"
"frontend\public\locales\de\task-list-filters.json",".json","3698","89"
"frontend\public\locales\de\task-list-table.json",".json","5708","135"
"frontend\public\locales\de\task-management.json",".json","1425","38"
"frontend\public\locales\de\tasks\task-table-bulk-actions.json",".json","1603","41"
"frontend\public\locales\de\task-template-drawer.json",".json","346","11"
"frontend\public\locales\de\templateDrawer.json",".json","736","23"
"frontend\public\locales\de\template-drawer.json",".json","612","19"
"frontend\public\locales\de\time-report.json",".json","1175","33"
"frontend\public\locales\de\unauthorized.json",".json","134","5"
"frontend\public\locales\en\404-page.json",".json","109","4"
"frontend\public\locales\en\account-setup.json",".json","9817","201"
"frontend\public\locales\en\admin-center\configuration.json",".json","874","26"
"frontend\public\locales\en\admin-center\current-bill.json",".json","4935","126"
"frontend\public\locales\en\admin-center\overview.json",".json","316","11"
"frontend\public\locales\en\admin-center\projects.json",".json","373","12"
"frontend\public\locales\en\admin-center\sidebar.json",".json","160","8"
"frontend\public\locales\en\admin-center\teams.json",".json","1016","35"
"frontend\public\locales\en\admin-center\users.json",".json","212","10"
"frontend\public\locales\en\all-project-list.json",".json","996","34"
"frontend\public\locales\en\auth\auth-common.json",".json","142","5"
"frontend\public\locales\en\auth\forgot-password.json",".json","507","12"
"frontend\public\locales\en\auth\login.json",".json","999","27"
"frontend\public\locales\en\auth\signup.json",".json","1880","38"
"frontend\public\locales\en\auth\verify-reset-email.json",".json","623","14"
"frontend\public\locales\en\common.json",".json","3782","60"
"frontend\public\locales\en\create-first-project-form.json",".json","408","13"
"frontend\public\locales\en\create-first-tasks.json",".json","196","7"
"frontend\public\locales\en\home.json",".json","2068","62"
"frontend\public\locales\en\invite-initial-team-members.json",".json","208","8"
"frontend\public\locales\en\kanban-board.json",".json","1830","46"
"frontend\public\locales\en\license-expired.json",".json","169","6"
"frontend\public\locales\en\navbar.json",".json","937","32"
"frontend\public\locales\en\organization-name-form.json",".json","155","5"
"frontend\public\locales\en\phases-drawer.json",".json","814","24"
"frontend\public\locales\en\project-drawer.json",".json","2132","53"
"frontend\public\locales\en\project-view.json",".json","370","14"
"frontend\public\locales\en\project-view\import-task-templates.json",".json","297","11"
"frontend\public\locales\en\project-view\project-member-drawer.json",".json","402","11"
"frontend\public\locales\en\project-view\project-view-header.json",".json","1247","31"
"frontend\public\locales\en\project-view\save-as-template.json",".json","768","27"
"frontend\public\locales\en\project-view-files.json",".json","559","14"
"frontend\public\locales\en\project-view-insights.json",".json","1408","41"
"frontend\public\locales\en\project-view-members.json",".json","603","18"
"frontend\public\locales\en\project-view-updates.json",".json","128","6"
"frontend\public\locales\en\reporting-members.json",".json","1236","31"
"frontend\public\locales\en\reporting-members-drawer.json",".json","2578","76"
"frontend\public\locales\en\reporting-overview.json",".json","823","22"
"frontend\public\locales\en\reporting-overview-drawer.json",".json","1080","33"
"frontend\public\locales\en\reporting-projects.json",".json","1457","44"
"frontend\public\locales\en\reporting-projects-drawer.json",".json","1722","52"
"frontend\public\locales\en\reporting-projects-filters.json",".json","1033","31"
"frontend\public\locales\en\reporting-sidebar.json",".json","220","8"
"frontend\public\locales\en\schedule.json",".json","963","34"
"frontend\public\locales\en\settings\account-deletion.json",".json","1900","29"
"frontend\public\locales\en\settings\appearance.json",".json","161","5"
"frontend\public\locales\en\settings\categories.json",".json","384","10"
"frontend\public\locales\en\settings\change-password.json",".json","786","15"
"frontend\public\locales\en\settings\clients.json",".json","852","22"
"frontend\public\locales\en\settings\job-titles.json",".json","811","20"
"frontend\public\locales\en\settings\labels.json",".json","587","15"
"frontend\public\locales\en\settings\language.json",".json","194","7"
"frontend\public\locales\en\settings\notifications.json",".json","637","11"
"frontend\public\locales\en\settings\profile.json",".json","498","14"
"frontend\public\locales\en\settings\project-templates.json",".json","168","8"
"frontend\public\locales\en\settings\sidebar.json",".json","479","16"
"frontend\public\locales\en\settings\task-templates.json",".json","199","9"
"frontend\public\locales\en\settings\team-members.json",".json","2196","48"
"frontend\public\locales\en\settings\teams.json",".json","425","16"
"frontend\public\locales\en\survey.json",".json","574","14"
"frontend\public\locales\en\task-drawer\task-drawer.json",".json","4742","129"
"frontend\public\locales\en\task-drawer\task-drawer-info-tab.json",".json","809","30"
"frontend\public\locales\en\task-drawer\task-drawer-recurring-config.json",".json","972","34"
"frontend\public\locales\en\task-list-filters.json",".json","3279","89"
"frontend\public\locales\en\task-list-table.json",".json","5096","135"
"frontend\public\locales\en\task-management.json",".json","1238","38"
"frontend\public\locales\en\tasks\task-table-bulk-actions.json",".json","1458","41"
"frontend\public\locales\en\task-template-drawer.json",".json","364","12"
"frontend\public\locales\en\templateDrawer.json",".json","696","23"
"frontend\public\locales\en\template-drawer.json",".json","568","19"
"frontend\public\locales\en\time-report.json",".json","1468","45"
"frontend\public\locales\en\unauthorized.json",".json","122","5"
"frontend\public\locales\es\404-page.json",".json","121","4"
"frontend\public\locales\es\account-setup.json",".json","10682","203"
"frontend\public\locales\es\admin-center\current-bill.json",".json","4204","100"
"frontend\public\locales\es\admin-center\overview.json",".json","243","8"
"frontend\public\locales\es\admin-center\projects.json",".json","419","12"
"frontend\public\locales\es\admin-center\sidebar.json",".json","183","8"
"frontend\public\locales\es\admin-center\teams.json",".json","1173","35"
"frontend\public\locales\es\admin-center\users.json",".json","229","9"
"frontend\public\locales\es\all-project-list.json",".json","1077","34"
"frontend\public\locales\es\auth\auth-common.json",".json","140","5"
"frontend\public\locales\es\auth\forgot-password.json",".json","669","12"
"frontend\public\locales\es\auth\login.json",".json","1192","27"
"frontend\public\locales\es\auth\signup.json",".json","1864","31"
"frontend\public\locales\es\auth\verify-reset-email.json",".json","708","14"
"frontend\public\locales\es\common.json",".json","4208","60"
"frontend\public\locales\es\create-first-project-form.json",".json","416","13"
"frontend\public\locales\es\create-first-tasks.json",".json","193","7"
"frontend\public\locales\es\home.json",".json","2224","61"
"frontend\public\locales\es\invite-initial-team-members.json",".json","227","8"
"frontend\public\locales\es\kanban-board.json",".json","2054","46"
"frontend\public\locales\es\license-expired.json",".json","194","6"
"frontend\public\locales\es\navbar.json",".json","1004","32"
"frontend\public\locales\es\organization-name-form.json",".json","162","5"
"frontend\public\locales\es\phases-drawer.json",".json","910","24"
"frontend\public\locales\es\project-drawer.json",".json","2321","52"
"frontend\public\locales\es\project-view.json",".json","457","14"
"frontend\public\locales\es\project-view\import-task-templates.json",".json","335","11"
"frontend\public\locales\es\project-view\project-member-drawer.json",".json","485","11"
"frontend\public\locales\es\project-view\project-view-header.json",".json","1410","31"
"frontend\public\locales\es\project-view\save-as-template.json",".json","790","27"
"frontend\public\locales\es\project-view-files.json",".json","602","14"
"frontend\public\locales\es\project-view-insights.json",".json","1559","41"
"frontend\public\locales\es\project-view-members.json",".json","629","18"
"frontend\public\locales\es\project-view-updates.json",".json","144","6"
"frontend\public\locales\es\reporting-members.json",".json","1348","31"
"frontend\public\locales\es\reporting-members-drawer.json",".json","2821","76"
"frontend\public\locales\es\reporting-overview.json",".json","857","22"
"frontend\public\locales\es\reporting-overview-drawer.json",".json","1132","33"
"frontend\public\locales\es\reporting-projects.json",".json","1565","44"
"frontend\public\locales\es\reporting-projects-drawer.json",".json","1845","52"
"frontend\public\locales\es\reporting-projects-filters.json",".json","1109","31"
"frontend\public\locales\es\reporting-sidebar.json",".json","245","8"
"frontend\public\locales\es\schedule.json",".json","1019","34"
"frontend\public\locales\es\settings\appearance.json",".json","167","5"
"frontend\public\locales\es\settings\categories.json",".json","380","10"
"frontend\public\locales\es\settings\change-password.json",".json","878","15"
"frontend\public\locales\es\settings\clients.json",".json","940","22"
"frontend\public\locales\es\settings\job-titles.json",".json","856","20"
"frontend\public\locales\es\settings\labels.json",".json","648","15"
"frontend\public\locales\es\settings\language.json",".json","207","7"
"frontend\public\locales\es\settings\notifications.json",".json","704","10"
"frontend\public\locales\es\settings\profile.json",".json","576","14"
"frontend\public\locales\es\settings\project-templates.json",".json","179","8"
"frontend\public\locales\es\settings\sidebar.json",".json","474","15"
"frontend\public\locales\es\settings\task-templates.json",".json","209","9"
"frontend\public\locales\es\settings\team-members.json",".json","2598","48"
"frontend\public\locales\es\settings\teams.json",".json","494","16"
"frontend\public\locales\es\survey.json",".json","621","14"
"frontend\public\locales\es\task-drawer\task-drawer.json",".json","5286","129"
"frontend\public\locales\es\task-drawer\task-drawer-info-tab.json",".json","900","30"
"frontend\public\locales\es\task-drawer\task-drawer-recurring-config.json",".json","1024","34"
"frontend\public\locales\es\task-list-filters.json",".json","3666","89"
"frontend\public\locales\es\task-list-table.json",".json","5706","135"
"frontend\public\locales\es\task-management.json",".json","1345","38"
"frontend\public\locales\es\tasks\task-table-bulk-actions.json",".json","1569","41"
"frontend\public\locales\es\task-template-drawer.json",".json","346","11"
"frontend\public\locales\es\templateDrawer.json",".json","745","23"
"frontend\public\locales\es\template-drawer.json",".json","618","19"
"frontend\public\locales\es\time-report.json",".json","1631","45"
"frontend\public\locales\es\unauthorized.json",".json","130","5"
"frontend\public\locales\ko\404-page.json",".json","140","4"
"frontend\public\locales\ko\account-setup.json",".json","1377","27"
"frontend\public\locales\ko\admin-center\configuration.json",".json","884","26"
"frontend\public\locales\ko\admin-center\current-bill.json",".json","4518","104"
"frontend\public\locales\ko\admin-center\overview.json",".json","210","8"
"frontend\public\locales\ko\admin-center\projects.json",".json","430","12"
"frontend\public\locales\ko\admin-center\sidebar.json",".json","162","8"
"frontend\public\locales\ko\admin-center\teams.json",".json","1103","35"
"frontend\public\locales\ko\admin-center\users.json",".json","228","9"
"frontend\public\locales\ko\all-project-list.json",".json","1132","34"
"frontend\public\locales\ko\auth\auth-common.json",".json","152","5"
"frontend\public\locales\ko\auth\forgot-password.json",".json","637","12"
"frontend\public\locales\ko\auth\login.json",".json","1250","27"
"frontend\public\locales\ko\auth\signup.json",".json","1694","29"
"frontend\public\locales\ko\auth\verify-reset-email.json",".json","746","14"
"frontend\public\locales\ko\common.json",".json","577","9"
"frontend\public\locales\ko\create-first-project-form.json",".json","497","13"
"frontend\public\locales\ko\create-first-tasks.json",".json","227","7"
"frontend\public\locales\ko\home.json",".json","2345","62"
"frontend\public\locales\ko\invite-initial-team-members.json",".json","262","8"
"frontend\public\locales\ko\kanban-board.json",".json","1092","29"
"frontend\public\locales\ko\license-expired.json",".json","208","6"
"frontend\public\locales\ko\navbar.json",".json","1040","32"
"frontend\public\locales\ko\organization-name-form.json",".json","183","5"
"frontend\public\locales\ko\phases-drawer.json",".json","1021","24"
